"","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:00:00","24.40","21.37","20.74","20.50"
"00:00:01","24.41","21.42","20.84","20.61"
"00:00:02","24.40","21.48","20.94","20.73"
"00:00:03","24.39","21.54","21.03","20.83"
"00:00:04","24.39","21.60","21.13","20.94"
"00:00:05","24.41","21.65","21.23","21.05"
"00:00:06","24.40","21.72","21.33","21.16"
"00:00:07","24.39","21.78","21.43","21.28"
"00:00:08","24.40","21.84","21.54","21.41"
"00:00:09","24.42","21.90","21.66","21.58"
"00:00:10","24.40","21.97","21.81","21.78"
"00:00:11","24.40","22.06","21.98","22.00"
"00:00:12","24.39","22.15","22.15","22.25"
"00:00:13","24.43","22.25","22.34","22.51"
"00:00:14","24.42","22.35","22.55","22.78"
"00:00:15","24.41","22.46","22.76","23.06"
"00:00:16","24.42","22.59","22.98","23.34"
"00:00:17","24.45","22.70","23.22","23.63"
"00:00:18","24.43","22.82","23.44","23.93"
"00:00:19","24.43","22.96","23.69","24.23"
"00:00:20","24.42","23.10","23.93","24.53"
"00:00:21","24.45","23.23","24.19","24.82"
"00:00:22","24.45","23.37","24.44","25.13"
"00:00:23","24.44","23.53","24.71","25.43"
"00:00:24","24.44","23.69","24.96","25.73"
"00:00:25","24.47","23.84","25.22","26.04"
"00:00:26","24.45","23.99","25.49","26.34"
"00:00:27","24.45","24.16","25.76","26.65"
"00:00:28","24.45","24.32","26.03","26.96"
"00:00:29","24.48","24.48","26.31","27.27"
"00:00:30","24.48","24.64","26.58","27.57"
"00:00:31","24.47","24.80","26.85","27.88"
"00:00:32","24.47","24.97","27.12","28.18"
"00:00:33","24.50","25.14","27.40","28.48"
"00:00:34","24.50","25.30","27.68","28.78"
"00:00:35","24.50","25.48","27.96","29.08"
"00:00:36","24.50","25.66","28.24","29.38"
"00:00:37","24.53","25.82","28.51","29.67"
"00:00:38","24.52","25.98","28.78","29.96"
"00:00:39","24.52","26.16","29.05","30.24"
"00:00:40","24.52","26.33","29.31","30.52"
"00:00:41","24.56","26.51","29.58","30.80"
"00:00:42","24.56","26.66","29.84","31.08"
